Name,AUID,Coords,Const,Type,Period,Mag
"CSS_J000231.3+425310","--","00 02 31.32 +42 53 10.4","And","E","0.311564","14.35 (0.10) CV"
"CSS_J023330.4+380858","--","02 33 30.41 +38 08 58.4","And","E","0.344672","17.39 (0.62) CV"
"GSC 03631-01972","--","23 06 38.12 +47 23 27.5","And","E","1.2121","--"
"GSC 03645-01155","--","23 30 24.26 +50 33 31.7","And","E","0.32","11.48 - ? Ic"
"GSC 03648-01384","--","23 16 01.32 +50 50 59.7","And","E","1.30","9.61 - ? Ic"
"HAT-088-0017192","--","01 38 56.50 +48 52 40.2","And","E","1.4030920","13.92 - ? V"
"HAT-161-0005455","--","23 35 24.29 +47 22 09.1","And","E","2.8019392","12.503 (0.053) V"
"HAT-161-0009073","--","23 11 11.89 +44 34 40.4","And","E","4.6061046","13.720 - ? V"
"HAT-161-0018243","--","23 19 33.66 +43 28 47.4","And","E","4.2951948","14.846 - ? V"
"HAT-162-0004566","--","00 08 25.77 +39 40 57.0","And","E","1.2773541","13.146 - ? V"
"HAT-163-0007613","--","00 44 23.36 +38 03 35.7","And","E","8.5924927","14.268 (0.035) V"
"NSV 15362","--","01 41 46.70 +49 18 12.0","And","E","7.029","7.887 (0.176)clear V"
"NSVS 3596525","--","23 21 13.18 +37 18 54.3","And","E","1.81325","12.618 (0.518) R1"
"NSVS 3630887","--","23 55 39.59 +39 12 10.5","And","E","0.46030","12.439 (0.484) R1"
"NSVS 3661894","--","00 28 01.10 +45 37 17.8","And","E","0.6804592","13.055 (0.275) R1"
"NSVS 3976973","--","02 11 46.08 +39 23 36.4","And","E","0.80744","11.947 (0.220) R1"
"NSVS 6195117","--","23 10 53.25 +52 11 08.7","And","E","0.40511","12.483 (0.344) R1"
"NSVS 6350233","--","00 28 54.80 +35 23 54.2","And","E","0.54931","12.871 (0.407) R1"
"T-And0-00745","--","01 03 45.08 +44 50 41.1","And","E","2.85132","10.765 (0.053) R"
"T-And0-00920","--","01 17 30.68 +47 03 31.6","And","E","24.073","10.360 - ? R"
"T-And0-01461","--","01 06 15.35 +45 08 25.7","And","E","5.61346","10.865 (0.076) R"
"T-And0-01554","--","01 17 05.00 +45 54 06.2","And","E","1.315823","10.380 (0.221) R"
"T-And0-01597","--","01 10 32.07 +46 49 53.2","And","E","3.50305","10.940 (0.197) R"
"T-And0-02699","--","01 06 44.81 +47 31 08.6","And","E","1.759189","11.475 (0.126) R"
"T-And0-02798","--","01 21 18.35 +48 48 05.6","And","E","2.85954","11.435 (0.129) R"
"T-And0-03526","--","01 20 17.45 +47 39 23.3","And","E","1.535928","11.900 (0.548) R"
"T-And0-04594","--","01 16 10.71 +48 52 19.0","And","E","3.91050","12.190 (0.087) R"
"T-And0-04829","--","01 15 15.23 +47 45 59.0","And","E","0.6777830","11.730 (0.067) R"
"T-And0-05241","--","00 56 34.68 +46 37 02.9","And","E","1.453516","12.805 (0.058) R"
"T-And0-05794","--","01 12 11.76 +47 32 30.9","And","E","1.053078","12.345 (0.044) R"
"T-And0-06039","--","01 23 37.55 +48 25 37.7","And","E","4.92279","12.475 (0.215) R"
"T-And0-06538","--","01 20 58.91 +49 29 08.9","And","E","18.6693","12.915 (0.269) R"
"T-And0-06632","--","01 22 36.84 +47 52 53.3","And","E","1.669032","12.680 (0.203) R"
"T-And0-07568","--","01 10 58.55 +45 17 58.4","And","E","1.601625","13.555 (0.199) R"
"T-And0-07608","--","01 25 36.62 +49 52 07.3","And","E","14.7388","14.385 (0.111) R"
"T-And0-08426","--","01 17 17.53 +49 19 37.4","And","E","1.670770","12.825 (0.190) R"
"T-And0-10059","--","01 14 33.04 +46 57 13.1","And","E","4.20960","13.395 (0.102) R"
"T-And0-10336","--","01 04 55.45 +47 02 15.5","And","E","2.86280","13.050 (0.142) R"
"T-And0-10721","--","01 08 17.55 +46 29 11.6","And","E","0.830894","13.610 (0.567) R"
"T-And0-10993","--","01 22 10.61 +47 05 26.9","And","E","1.637086","13.470 (0.093) R"
"T-And0-12296","--","01 10 40.04 +47 37 54.8","And","E","0.863407","13.465 (0.244) R"
"T-And0-13613","--","01 14 09.14 +47 44 49.6","And","E","3.34728","13.785 (0.147) R"
"T-And0-13653","--","00 59 57.88 +45 03 41.5","And","E","3.34243","14.490 (0.544) R"
