Name,AUID,Coords,Const,Type,Period,Mag
"ATLAS17jgy","000-BMK-802","00 45 25.49 +39 50 52.5","And","N","--","16.8: - <24 r CR"
"M31N 2012-06A","000-BKT-291","00 43 21.92 +41 20 24.4","And","N","--","17.3 - <19.9 R"
"M31N 2017-07a","000-BMR-512","00 43 14.50 +41 33 57.2","And","N","--","17.2 - <22 CR"
"M31N 2017-09a","000-BMM-859","00 44 08.72 +41 43 36.7","And","N","--","17.3 - <22 CV"
"PNV J00423439+4044255","000-BMP-128","00 42 34.40 +40 44 26.0","And","N","--","16.4 - <22 V"
"V1378 Aql","000-BCG-025","19 16 35.35 +03 43 19.3","Aql","N","--","10 - <12.7 V"
"V1548 Aql","000-BCF-342","19 07 28.43 +11 44 45.8","Aql","N","--","10.8 - <18.0 V"
"V1724 Aql","000-BKS-398","18 52 34.96 -00 18 42.5","Aql","N","--","13.7 - <19 V"
"V1831 Aql","000-BLS-326","19 21 50.15 +15 09 24.8","Aql","N","--","14.7 - <22 V"
"NSVS J1357306+812719","--","13 57 30.22 +81 27 18.8","Cam","N","--","12.3 R1 - <21 Rc"
"V1047 Cen","000-BCY-259","13 20 49.74 -62 37 50.5","Cen","N","--","8.8 - <11.0 V"
"VVV-NOV-007","000-BLV-670","13 12 22.41 -64 09 05.4","Cen","N","--",">9.46 - <17.9 Ks"
"AI Cir","000-BCV-476","14 49 31.29 -68 51 35.9","Cir","N","--","10.9 - <16.5 p"
"V0655 CrA","000-BDN-022","18 24 44.73 -36 59 41.8","CrA","N","--","8.0: - 17.7 R p"
"V2468 Cyg","000-BFT-108","19 58 33.39 +29 52 06.5","Cyg","N","0.145250","7.8 - ? clear"
"ASASSN-18jj","000-BMQ-839","06 26 20.72 -69 45 46.0","Dor","N","--","12.1 - <21 G g"
"LMC V1161","000-BLG-623","05 08 01.21 -68 37 37.1","Dor","N","--","10.3 - 21.2 V"
"N LMC 2009 #2","000-BJP-186","05 31 26.42 -67 05 39.4","Dor","N","--","12.1 - ? p"
"N LMC 92","000-BCZ-180","05 19 19.96 -68 54 35.1","Dor","N","--","10.2 - 18.1 V"
"N SMC 2012","000-BKW-699","00 32 55.06 -74 20 19.7","Hyi","N","0.85","11 - <21.3 I"
"HY Lup","000-BBV-501","14 31 50.12 -51 10 32.2","Lup","N","--","7.97 - <17.0 V"
"ASASSN-18pf","000-BMS-182","05 41 46.57 -71 48 37.8","Men","N","--","10.7 - <22 G"
"LMC V3479","000-BLG-624","05 35 29.33 -70 21 29.4","Men","N","--","11.4 - <15.0 V"
"N LMC 95","000-BCZ-218","05 26 50.30 -70 01 24.1","Men","N","--","10.7 - 19.5 V"
"Nova LMC 2015","000-BLP-708","05 56 41.01 -75 09 36.8","Men","N","--","11.5 - 16.8: V"
"Nova LMC 2017 No. 2","000-BMM-384","05 30 16.77 -73 16 11.3","Men","N","--","11.8 - <22 V"
"OGLE-2012-NOVA-003","000-BMD-584","05 20 21.09 -73 05 43.3","Men","N","--","12.9 - <21 Ic"
"OGLE-2013-NOVA-02","000-BMD-586","05 57 58.35 -74 54 08.9","Men","N","--","11.5 - <21 Ic"
"VVV-NOV-012","000-BLV-940","16 25 27.57 -47 53 09.7","Nor","N","--","8.4 - <17.6 Ks"
"VVV-NOV-013","000-BLV-921","16 34 03.64 -47 45 06.4","Nor","N","--","11.2 - <17.6 Ks"
"BB Oph","000-BCW-512","17 24 30.18 -24 48 06.2","Oph","N","--","11.3 p - 19.4 V"
"V1012 Oph","000-BDX-437","17 41 34.54 -23 23 33.1","Oph","N","--","14 - <21.0 B"
"V2024 Oph","000-BDY-445","17 42 23.00 -24 59 24.0","Oph","N","--","9.5: - <18.0 V"
"V2944 Oph","000-BLP-905","17 29 13.42 -18 46 13.8","Oph","N","--","9.3 V - 18.8: B"
