Name,AUID,Coords,Const,Type,Period,Mag
"AF Ant","000-BDD-081","09 34 00.18 -29 15 24.1","Ant","RR","--","13.8 - 14.7 p"
"UV Aps","000-BDD-126","14 50 51.87 -71 07 12.1","Aps","RR","0.4194:","15.1 - 15.9 p"
"UW Aps","000-BDD-127","14 52 26.23 -71 21 42.0","Aps","RR","0.503485","14.4 - 16.0 p"
"UX Aps","000-BDD-128","14 52 30.33 -70 54 43.3","Aps","RR","0.40075","14.7 - 15.8 p"
"DK Aps","000-BDD-217","17 18 37.89 -81 43 17.4","Aps","RR","--","14.8 - 15.6 p"
"FG Aps","000-BDD-254","15 06 42.31 -72 13 21.9","Aps","RR","--","15.0 - 16.0 p"
"FH Aps","000-BDD-255","15 31 39.49 -72 40 17.9","Aps","RR","--","15.5 - 16.5 p"
"FK Aps","000-BDD-257","15 37 13.37 -72 11 22.5","Aps","RR","--","15.0 - 16.0 p"
"KY Aps","000-BDD-339","17 36 30.00 -76 53 38.2","Aps","RR","--","15.3 - <15.6 p"
"NSVS 14484499","--","21 57 29.60 -03 06 41.1","Aqr","RR","0.73691630","11.93 (0.30) R1"
"[SIG2010] 3218459","--","20 48 54.07 +00 23 13.3","Aqr","RR","0.222820","16.13 (0.12) r"
"HL Aql","000-BDD-713","18 46 35.54 -02 01 08.0","Aql","RR","0.4285:","14.5 - 15.2 p"
"HV Aql","000-BDD-723","19 01 02.02 +00 14 50.6","Aql","RR","0.508","14.4 - 15.0 p"
"V0972 Aql","000-BDF-345","19 25 55.91 +07 11 54.7","Aql","RR","--","14.0 - 15.0 p"
"V1002 Aql","000-BDF-374","19 38 46.48 +05 57 04.7","Aql","RR","--","15.5 - 16.5 p"
"V1007 Aql","000-BDF-378","19 39 47.57 +16 11 24.9","Aql","RR","--","16.0 - 17.0 p"
"V1061 Aql","000-BDF-429","19 54 20.75 +07 01 31.4","Aql","RR","--","15.5 - 17.0 p"
"V1089 Aql","000-BDF-457","20 04 59.67 +10 36 50.0","Aql","RR","--","15.0 - 16.0 p"
"V1104 Aql","000-BDF-471","19 03 40.24 +14 44 18.1","Aql","RR","--","17.0 - 18.0 p"
