Name,AUID,Coords,Const,Type,Period,Mag
"V1357 Aql","000-BDF-700","20 12 03.85 +15 21 28.1","Aql","SXARI","19.5","7.94 (0.04) V"
"SX Ari","000-BDG-771","03 12 14.25 +27 15 25.1","Ari","SXARI","0.727902","5.75 - 5.81 V"
"V0761 Cen","000-BDK-931","14 23 02.24 -39 30 42.6","Cen","SXARI","8.8171","4.38 - 4.43 V"
"V0692 CrA","000-BDN-057","18 13 12.70 -41 20 10.0","CrA","SXARI","1.67","5.46 (0.05) V"
"V1624 Cyg","000-BCK-728","20 09 25.62 +36 50 22.6","Cyg","SXARI","0.7","4.91 - 4.97 V"
"V1671 Cyg","000-BCH-221","19 35 32.01 +31 16 35.9","Cyg","SXARI","9.35","7.45 - 7.46 V"
"V2117 Cyg","000-BDP-829","20 20 39.19 +43 07 37.2","Cyg","SXARI","0.82911179","8.84 - 9.07 V"
"DZ Eri","000-BBH-122","04 32 37.55 -03 12 34.3","Eri","SXARI","1.374","5.73 - 5.82 Y"
"HR Lup","000-BDT-377","15 08 12.13 -40 35 02.1","Lup","SXARI","0.877476","5.76 - 5.81 V"
"sig Lup","000-BBV-517","14 32 37.06 -50 27 25.8","Lup","SXARI","3.01927","4.42 - 4.44 V"
"EI Lyn","000-BFQ-546","09 13 48.21 +43 13 04.2","Lyn","SXARI","3.834","5.32 (0.03) V"
"V0359 Ori","000-BDZ-204","05 35 33.36 -04 50 15.1","Ori","SXARI","15.26","7.25 - 7.36 V"
"V0901 Ori","000-BCZ-287","05 40 56.37 -01 30 25.9","Ori","SXARI","1.5385","6.97 - 7.02 V"
"V1030 Ori","000-BDZ-849","05 38 47.21 -02 35 40.5","Ori","SXARI","1.1908","6.61 - 6.77 V"
"V1099 Ori","000-BDZ-910","05 32 13.08 -01 36 01.8","Ori","SXARI","--","8.29 (0.03) V"
"V1101 Ori","000-BCW-608","05 32 14.83 -04 31 06.2","Ori","SXARI","2.172","8.14 (0.06) V"
"V1107 Ori","000-BDZ-917","05 33 26.06 +00 37 16.9","Ori","SXARI","2.12112","8.06 (0.02) V"
"V1156 Ori","000-BDZ-962","05 23 50.36 +02 04 55.8","Ori","SXARI","1.85443","7.89 (0.03) V"
"V0396 Per","000-BFC-274","03 32 08.59 +48 01 24.5","Per","SXARI","2.4761","5.45 - 5.53 V"
"V0343 Pup","000-BFD-005","07 32 07.61 -46 56 32.7","Pup","SXARI","--","8.8 (0.04) V"
"NSV 3673","--","07 38 49.38 -26 48 06.5","Pup","SXARI","1.9093","3.81 - 3.83 V"
"NSV 24772","--","19 24 30.17 -27 51 57.2","Sgr","SXARI","0.5214404","5.98 - 6.03 V"
"V0913 Sco","000-BBW-799","15 58 34.87 -24 49 53.4","Sco","SXARI","0.9789","5.4 - 5.47 V"
"V0927 Sco","000-BFL-152","15 54 39.53 -25 14 37.5","Sco","SXARI","1.45937","5.8 (0.03) V"
"V0929 Sco","000-BBW-992","16 06 06.38 -23 36 22.7","Sco","SXARI","1.49498","5.89 - 5.91 V"
"V0957 Sco","000-BBZ-525","17 52 13.66 -34 47 57.1","Sco","SXARI","--","5.87 (0.05) V"
"V1051 Sco","000-BBX-190","16 13 45.50 -24 25 19.5","Sco","SXARI","1.6956","6.4 - 6.43 Hp"
"alf Scl","000-BBC-240","00 58 36.36 -29 21 26.8","Scl","SXARI","--","4.31 V (0.04)u"
