  The type of the variability: E           
BY    Oct |000037.8-802348. |E         | 15.6    |  16.6      |p |
UU    Scl |000122.5-263524. |E         | 14.86   |  16.4      |B |
NSV 00031 |000632.4-783441. |E         | 16.     |  16.5      |p |
NSV 00140 |002101.0-754731. |E         | 13.0    |  14.0      |p |              SMC   V0014
RW    Phe |003016.3-462759. |E         | 12.4    |  14.0      |V |
V0711 Cas |003823.6+482255.:|E         | 25.02   |  26.19     |g |
V0712 Cas |003826.8+482009.:|E         | 24.48   |  25.41     |g |
V0713 Cas |003827.4+482152.:|E         | 24.55   |  25.59     |g |
V0714 Cas |003827.5+482620.:|E         | 24.46   |  25.32     |g |
V0715 Cas |003854.0+482516.:|E         | 24.32   |  25.44     |g |
V0718 Cas |003857.8+482732.:|E         | 24.22   |  25.20     |g |
V0719 Cas |003858.6+482658.:|E         | 24.30   |  25.33     |g |
NSV 00290 |004601.4+403102. |E         | 18.9    |            |V |              M31   V1180
AO    Phe |010702.5-463546. |E         | 15.4    |< 16.0      |p |
V0458 Cas |011046.8+602334. |E         | 15.5    |  16.       |p |
NSV 00430 |011158.7+583003. |E         | 16.5    |  17.       |p |
V0460 Cas |011228.0+541827. |E         | 16.     |  16.5      |p |
NSV 00475 |011747.7-811948. |E         | 13.4    |  13.9      |p |
V0464 Cas |011750.8+564904. |E         | 15.5    |  16.       |p |
BH    Hyi |012925.3-765252. |E         | 16.4    |  16.8      |p |
AS    Phe |013003.5-413020. |E         | 14.0    |  14.4      |p |
AE    Psc |013144.5+224429. |E         |  7.09   |(  0.16    )|V |G5
TT    Tri |013159.9+294922. |E         | 14.7    |  16.7      |p |
NSV 15327 |013325.0+322736. |E         | 15.8    |  17.0      |p |
BB    Scl |013501.0-295437. |E         |  7.10   |   7.17     |V |
NSV 15334 |013533.8+313048. |E         | 17.0    |  17.8      |p |
BI    Hyi |013601.1-771048. |E         | 16.0    |  16.4      |p |
V0478 Cas |014318.9+554005. |E         | 15.     |  15.5      |p |
NSV 00621 |014449.7-753650. |E         | 14.8    |  15.4      |p |              SMC   V2365
DG    Cet |015037.3-045715. |E         |  9.03   |   9.49     |Hp|
NSV 00688 |015829.8-534010. |E         | 14.5    |  15.       |p |
NSV 00723 |020314.9-793728. |E         | 15.5    |  16.       |p |
TY    Tri |020327.7+323957. |E         | 11.2    |  12.1      |p |
KY    Per |021430.2+562402. |E         | 16.5    |  17.5      |p |
NSV 00785 |021946.5+571530. |E         | 14.4    |  14.9      |p |
NSV 00789 |022037.8+570049. |E         | 15.0    |  15.6      |p |
W     For |024143.9-260151. |E         | 12.9    |  13.7      |p |
