  The type of the variability: RR          
TZ    Scl |000049.2-284901. |RR        | 14.6    |  15.6      |p |
KS    Cet |000400.6-090353. |RR(B)     | 18.1    |  19.0      |CV|
UW    Tuc |000558.6-740649. |RR        | 14.9    |  15.8      |p |
SX    Scl |000658.7-293625. |RR        | 14.7    |  15.8      |p |
DE    Scl |001324.4-283212. |RR(B)     | 15.35   |  15.92     |CV|
V0363 Cas |001514.3+602026. |RR(B)     | 10.29   |  10.73     |V |F3-F7
V0784 And |002037.9+312906. |RR(B)     | 17.21   |  17.87     |CV|
T     Hyi |002415.9-761655. |RR        | 13.0    |  14.3      |p |
RX    Phe |002422.8-542528. |RR        | 14.2    |  15.1      |p |
EN    Cep |002441.6+832620. |RR        | 14.5    |  15.5      |p |
V     Hyi |002829.7-805444. |RR        | 13.8    |  15.2      |p |
V0787 And |003317.0+263124. |RR(B)     | 16.88   |  17.54     |CV|
NSV 00217 |003511.2-583308. |RR        | 14.4    |  15.2      |p |
V0788 And |003938.4+300941. |RR(B)     | 16.91   |  17.67     |CV|
UW    Cet |004357.6+000216. |RR        | 15.0    |  16.2      |p |
VY    Hyi |004816.7-743551. |RR        | 13.3    |  14.3      |p |
Z     Hyi |004819.1-770000. |RR        | 15.0    |  16.3      |p |
ST    Cet |004904.3+022516. |RR        | 13.4    |  15.0      |p |
AE    Hyi |004939.6-760435. |RR        | 15.7    |  16.4      |p |
RY    Phe |005001.1-553413. |RR        | 15.4    |  16.0      |p |
TW    Phe |010454.3-430712. |RR        | 14.9    |< 16.0      |p |
AH    Tuc |010703.4-714259. |RR        | 14.7    |  15.5      |p |
AZ    Tuc |010753.0-592548. |RR        | 15.     |  15.5      |p |
RZ    Phe |010937.8-563506. |RR        | 14.9    |  15.8      |p |
SZ    Hyi |011001.1-752912. |RR        | 14.8    |  16.0      |p |
UV    Phe |011210.7-411328. |RR        | 13.7    |  14.7      |p |
UW    Phe |011420.9-530950. |RR        | 13.5    |  14.       |p |
FP    And |011649.4+350333. |RR        | 14.8    |  15.8      |p |
EU    Cep |012052.2+845407. |RR        | 14.5    |  15.5      |p |
BI    Tuc |012119.7-580930. |RR        | 15.     |  16.       |p |
RX    Scl |012624.4-273000. |RR        | 14.0    |  15.1      |p |
CE    Eri |012747.9-570036. |RR        | 15.     |  15.5      |p |
V0796 And |012926.9+383338. |RR(B)     | 16.84   |  17.69     |CV|
