  The type of the variability: UV          
AX    Scl |000126.4-302549. |UV        | 15.     |  17.       |B |
HR    Cep |000712.3+671241. |UV        | 17.1    |  17.8      |V |
BI    Psc |001242.1+130813. |UV        | 13.3    |  18.5      |B |
V0591 Cas |001537.0+635302. |UV        | 13.2    |  14.4      |B |M2
GX    And |001822.9+440123. |UV        | 10.30   |  10.85     |U |M1Ve
V0593 Cas |003028.6+625008. |UV        | 12.6    |  13.9      |B |M
V0547 Cas |003229.4+671408. |UV        | 11.4    |  11.9      |B |M2.5Ve
HI    And |003800.8+402623. |UV        | 15.4    |  18.5      |B |
HW    And |004111.4+433321. |UV        | 12.7    |  14.4      |p |
HY    And |004232.2+414015. |UV        | 18.2    |  20.3      |B |
GS    And |004242.4+400825. |UV        | 16.4    |  18.5      |B |
V0388 Cas |010319.8+622156. |UV        | 12.5    |  13.78     |V |M3Vpe-M7Ve
YZ    Cet |011230.6-165956. |UV        | 13.15   |  13.87     |B |M5.5Ve
AO    Scl |011957.0-332541. |UV        | 13.6    |  14.26     |R |
BL    Cet |013901.4-175701. |UV        |         |  12.52     |V |
UV    Cet |013901.4-175702. |UV        |  6.8    |  12.95     |V |M5.5Ve
V0596 Cas |015923.5+583116. |UV        | 13.3    |  14.0      |B |M4Ve
V0599 Cas |020235.0+602814.:|UV        | 11.9    |  14.1      |B |M2
V0602 Cas |021440.0+612035. |UV        | 14.8    |  15.5      |B |M1
V0607 Cas |022226.3+613535. |UV        | 12.1    |  14.1      |B |M:
V0609 Cas |022452.9+615346. |UV        | 12.3    |  14.7      |B |M3
V0610 Cas |022641.7+594708. |UV        | 13.7    |  14.9      |B |M0-M1
V0611 Cas |022723.6+612633. |UV        | 13.7    |  15.2      |B |M2
V0612 Cas |023039.6+610025. |UV        | 12.5    |  14.2      |B |M2
BQ    Cet |023514.8+024757. |UV        | 13.7    |  16.4      |p |
BR    Cet |023706.2+065456. |UV        | 14.3    |< 16.5      |p |
V0613 Cas |023748.0+620747.:|UV        | 12.8    |  15.3      |B |M1
V0614 Cas |023853.4+622718. |UV        | 12.2    |  13.3      |B |M
AF    Hor |024147.1-525930. |UV        | 11.8    |(  4.0   U )|V |
V0616 Cas |024158.4+632019. |UV        | 14.9    |  15.6      |B |M2-M3
V0617 Cas |024229.0+631304. |UV        | 13.3    |  15.4      |B |M2
VX    Ari |024415.5+253124. |UV        | 11.2  : |  12.14     |B |M3.5Ve
V0618 Cas |025128.0+631402.:|UV        | 12.6    |  15.7      |B |M2
V0483 Per |025134.2+375013. |UV        | 15.1    |  17.0      |p |
V0393 Per |030941.7+473907. |UV        | 15.2    |  16.0      |p |
V0622 Cas |031050.4+605009. |UV        | 14.1    |  15.0      |B |M0-M1
V0619 Cas |031056.0+624250.:|UV        | 12.1    |  14.3      |B |
V0621 Cas |031113.6+610814. |UV        | 10.8    |  13.4      |B |M2
V0620 Cas |031114.4+604819. |UV        | 14.2    |  15.6      |B |M1
V0624 Cas |031129.6+603536. |UV        | 12.3    |  13.9      |B |M2
V0625 Cas |031210.3+615707. |UV        | 14.4    |  15.3      |B |M2
V0626 Cas |031218.8+610306. |UV        | 11.9    |  14.6      |B |M1
QZ    Per |031758.0+373418. |UV        | 14.5    |  17.5      |p |
NSV 01128 |032431.6+483300. |UV        | 15.0    |  15.4      |p |
V0515 Per |032718.2+475729. |UV        | 12.7    |(  9.0  :  )|U |
V0516 Per |032854.2+501619. |UV        | 14.1    |(  4.6  :  )|U |
V0602 Per |032926.7+492036. |UV        | 13.1    |  14.5      |U |
NSV 01202 |033625.3+245340. |UV        | 16.0    |  16.3      |p |
KK    Tau |033627.4+244118. |UV        | 15.4    |  18.5      |p |
V0426 Tau |033631.2+224657. |UV        | 14.1    |  15.7      |p |
