#JD	mag
2449208.68302	3.428
2449240.64369	3.445
2449253.58939	3.442
2449208.68728	3.425
2449241.66662	3.549
2449253.59234	3.441
2449210.65339	4.166
2449241.66973	3.554
2449254.65387	3.593
2449210.65694	4.156
2449242.64256	3.766
2449258.59918	3.389
2449211.69628	3.733
2449242.64552	3.765
2449258.60362	3.376
2449211.69964	3.752
2449245.59589	3.368
2449259.60495	3.353
2449214.60961	3.422
2449245.59884	3.364
2449260.60464	3.441
2449214.61330	3.407
2449245.63584	3.370
2449260.61065	3.440
2449216.61917	3.750
2449245.64080	3.371
2449264.61870	3.453
2449216.62200	3.737
2449246.62931	3.349
2449264.62161	3.452
2449218.61494	3.446
2449246.63486	3.362
2449526.71910	3.654
2449218.61883	3.474
2449247.68946	3.467
2449526.72148	3.653
2449218.65777	3.450
2449247.69394	3.479
2449545.63351	3.563
2449218.66075	3.463
2449248.59747	3.829
2449545.63656	3.587
2449220.61062	3.367
2449248.60054	3.843
2449561.63310	3.442
2449220.61453	3.357
2449248.76365	3.967
2449561.63639	3.586
2449234.60865	3.459
2449248.76803	3.965
2449566.62083	3.811
2449234.61206	3.449
2449249.66302	4.205
2449566.62346	3.820
2449234.65868	3.458
2449249.66583	4.207
2449573.61422	4.100
2449234.66543	3.444
2449250.59649	3.741
2449573.61683	4.074
2449238.63409	3.440
2449250.60067	3.733
2449574.62826	3.533
2449238.63705	3.429
2449251.68714	3.380
2449574.63177	3.542
2449238.70752	3.421
2449251.69267	3.389
2449582.60993	3.369
2449238.71124	3.443
2449252.60023	3.372
2449582.61291	3.370
2449240.63979	3.448
2449252.60426	3.367
2449584.61083	3.625
2449584.61449	3.632
2449595.59897	3.403
2449619.56701	3.565
2449586.61297	4.017
2449595.60199	3.396
2449619.56983	3.557
2449586.61556	4.012
2449600.59192	3.516
2449620.57060	3.420
2449589.60656	3.393
2449600.59466	3.521
2449620.57410	3.409
2449589.61227	3.402
2449605.59199	3.794
2449621.57476	3.385
2449590.63709	3.515
2449605.59538	3.807
2449621.57762	3.388
2449591.63953	3.728
2449607.58221	3.449
2449641.55260	3.397
2449591.64203	3.719
2449607.58581	3.449
2449641.55536	3.406
2449594.63013	3.449
2449613.58753	3.550
2449647.55674	3.394
2449594.63273	3.453
2449613.58994	3.546
2449647.55949	3.390
